leißig,	diligently, hard-working
nachvollziehbar,	comprehensible, understandable, nicht nachvollziehbar, inexplicable, elusive
etw. für bare Münze nehmen 	to take smth. at face value
abnehmen,	to decrease, to decline; to accept
betragen beträgt<betrug, betragen>,	to behave, to amount (to),to come up
der Verlust(-e), 	loss, deficit
vorwerfen,	to reproach, to allege, to accuse sb. of sth.
steigern,	to increase to raise
wagen,	to dare to do, to venture
verbreiten,	to spread, dsseminate
verbreitet,	widespread
sämtlich, 	whole, entire
abnehmen, 	to decrease, decline, diminish; to believe
brenzlig, 	precarious
betragen/beträgt<betrug, hat betragen>, 	to come to, to amount (to)
unschulig, 	blameless
zusätzlich,	additional, supplementary
der Vorwurf, 	blame, reproach; theme, story
Kundeneinlagen, 	account deposits
Fremdmitteln, 	outside means
das Schicksal (-e), 	fate, destiny, fortune
beurteilen, 	judge(nach by); pronouce, pass judgement; crticize, comment on, rate (value or performance)
gewähren, 	grant, allow
zusammenhängen,	to go together
aussichtsreich,	promising
aussichtslos,	hopeless
tätig sein,	to be activeö to work
riskiofreudig,	adventuresome, enterprising
unterstützen,	to prop; to support, back up, assist, adi; advocate
die Beurteilung, 	assesment, evualtion; judgement
betreiben<betrieb, betrieben>, 	to conduct, to operate, to carry on a business
etw. betreiben,	to go in for sth.
goldrichtig,	all right; thoroughly sound; perfect; dead on
zusteurten,	to steer for; fig. head towards, aim at
platzen,	to burst, explode, crack, bomb
aufbringen,	bring up, produce; find, procure; fig. raise (money); defray(expenses)
durchrechnen,	count (calculate) over, check
zurückzahlen,	pay back
bewilligen,	to grant, allow, accord; license, appropriate, consent
erläutern,	to explain, elucidate, expound
nachvollziehen,	to comprehend, to track; etw ~ -to reconstruct smthg.
vergeben,	to forgive
gewähren,	to grant
sich halten, 	to hold one's ground, to comply with smthg,,
das Sprichtword, 	proverb
die Selbsauskunft, 	voluntary disclosure of financial info.
zurückgreifen,	to have/make resouce to smthg.
vorsehen,	to provide, to allow for
abtreten,	to relinquish, to surrender
bevorstehen,	to approach, to be imminent, to approach, to come up(an event)
die Herausforderung, 	challenge
tilgen,	to amoritize a debt
einstellen,	to hire, recruit
erstellen,	to issue, prepare, draw up
Werbeprospekt,	promotional brochure
die,Anfrage 	enquiry, request, letter of inquiry
genützt,	used, utilized
leiten,	to conduct, to lead
der Kommlitone(-n), 	fellow student
verschaffen, 	to procure, provide, make avaiable
hinzugewinnen, 	to gain
die Industriebetrieb, 	industrial firms
sich ausruhen, 	to relax, to rest
schmuck, 	picture-perfect
sich abstrampeln, 	to flounder, to pedal like mad
der Rechner,	computer,,calculator
die Gewissheit, 	certainty, certitude, assurance
die Urlaubsvertretung,	vacation replacement
der Ärger, 	trouble, vexation, anger
der Kontostand,	account balance
die Grundlage,	foundation, basis
die Vergabe,	the placing of an order, awarding, allocation
die Kreditvergabe,	bank lending, granting of credit
die Raten,	rates, installments
der Auftrag,	order, task, job
der Auftragsstand,	pile of orders
der Kontokorrentkredit, advance on current account
die Ausgabe,	expense, outlay; edition
die Aufgabe,	task, assignment, exercise
das Guthaben,	credit, balance, money on account
die Betonung,	emphasis, stress, accent
die Zinsen,	interest
die Flaute,	slack,period, calm, depression, recession
die Zahlung,	payment;,~ eintreffen - the money coming in
die Zahlungsfähikeit,	inability,to pay
die Ausstellung,	exhibit
die Aufstellung,	list; here: ledger
die Kante,	ledge, edge, rim, border, edging
der Schritt,	pace, step, stride
die Selbständigkeit,	autonomy, self-employment
die Einnahme (-n), 	revenue, income, proceeds (pl.)
die Unterlage(-n),	document, records, details; substratum
der Anteil,	allotment, percentage, proportion
der Vorwuf,	blame, upbraiding, accusation
die Einlagen,	deposits
die Wartung, 	maintenance
die Einnahme (-n),	receipts; earnings
die Münze, 	coin
für bare Münze (-n), 	take a thing at face value
der Eigentümer, 	owner, proprietor
der Verlust(-e), 	losee
der Ertrag(ä-e), 	zield; proceeds, profits, returns
der Begriff (-e), 	term, notion, concept, conception, idea
der Anteil, 	share
die Verhandlung, 	negotiate
die Vertrieb,	sales (dept), marketing
die Baubranche,	building industry/sector
der Händler,	salesman
der Handwerker,	tradesman
das Unternehmerdasein,	enterprises existence
die Fähigkeit,	ability, competence
die Unterlage(-n), 	base, suport, rest; fig. documents, data
in Rechnung gestellt,	written invoices
die Naht(ä-en), 	seam
